acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.0-1
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
aom 1.0.0.errata1-1
archlinux-keyring 20191018-1
argon2 20190702-1
arm-linux-gnueabihf-binutils 2.32-2
arm-linux-gnueabihf-gcc 9.1.0-2
arm-linux-gnueabihf-glibc 2.29-3
arm-linux-gnueabihf-linux-api-headers 5.1-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
attr 2.4.48-1
audit 2.8.5-3
auracle-git r290.d59f80b-1
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
base 2-1
bash 5.0.011-1
bat 0.12.1-1
bc 1.07.1-3
binutils 2.33.1-1
bison 3.4.2-1
brotli 1.0.7-1
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.47-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cantarell-fonts 1:0.111-1
chromium 78.0.3904.87-1
cmake 3.15.5-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
coreutils 8.31-2
cracklib 2.9.7-1
cryptsetup 2.2.2-1
curl 7.66.0-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dconf 0.34.0-1
dejagnu 1.6.2-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 8.1.1-1
dialog 1:1.3_20190808-1
diffutils 3.7-2
dnssec-anchors 20190629-1
double-conversion 3.1.5-1
e2fsprogs 1.45.4-1
electron 7.0.1-1
elfutils 0.177-1
exa 0.9.0-1
expac 9-2
expat 2.2.9-1
expect 5.45.4-1
fakeroot 1.24-1
ffmpeg 1:4.2.1-3
fftw 3.3.8-1
file 5.37-3
filesystem 2019.10-1
findutils 4.7.0-1
flac 1.3.3-1
flex 2.6.4-2
fontconfig 2:2.13.91+24+g75eadca-1
freetype2 2.10.1-1
fribidi 1.0.7-1
fuse-common 3.7.0-1
fuse2 2.9.9-3
gawk 5.0.1-1
gc 8.0.4-2
gcc 9.2.0-3
gcc-libs 9.2.0-3
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
gettext 0.20.1-2
giflib 5.2.1-1
git 2.23.0-1
glew 2.1.0-1
glib-networking 2.62.1-1
glib2 2.62.2-1
glibc 2.30-2
glslang 7.12.3352-1
glu 9.0.1-1
gmock 1.8.1-3
gmp 6.1.2-2
gnu-free-fonts 20120503-7
gnupg 2.2.17-2
gnutls 3.6.10-1
gperf 3.1-2
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
graphite 1:1.3.13-2
grep 3.3-2
groff 1.22.4-1
gsettings-desktop-schemas 3.34.0-1
gsm 1.0.18-1
gtest 1.8.1-3
gtk-update-icon-cache 1:3.24.12+32+g39e28ab933-1
gtk3 1:3.24.12+32+g39e28ab933-1
guile 2.2.6-1
gzip 1.10-2
harfbuzz 2.6.4-1
hicolor-icon-theme 0.17-1
hidapi 0.9.0-1
http-parser 2.9.2-1
hwids 20190818-1
i3-wm 4.17.1-1
i3status 2.13-2
iana-etc 20191030-1
icu 64.2-1
inetutils 1.9.4-7
intel-ucode 20190918-1
iproute2 5.3.0-1
iptables 1:1.8.3-1
iputils 20190709-1
iso-codes 4.3-1
jack 0.125.0-8
jasper 2.0.16-1
jq 1.6-2
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.9.1-1
kbd 2.2.0-4
keyutils 1.6.1-1
kmod 26-3
krb5 1.17-1
l-smash 2.14.5-1
lame 3.100-2
lcms2 2.9-2
ldns 1.7.1-1
less 551-2
libao 1.2.2-2
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libbluray 1.1.2-1
libcanberra 0.30+2+gc0620e4-2
